,fraction,mean,well,sal,las,chlor,replicate,plate
0,0.9930334394904459,1.8999355429277818,A01,0.0,0.3,-,1,1
1,0.00696656050955414,4.252456716084057,A01,0.0,0.3,-,1,1
2,0.9922794442969649,1.8932420630706601,B01,0.0,1.0,-,1,1
3,0.00772055570303513,4.316665534063969,B01,0.0,1.0,-,1,1
4,0.9918354805434234,1.8974511785006245,C01,0.0,3.0,-,1,1
5,0.008164519456576608,4.264248867148786,C01,0.0,3.0,-,1,1
6,0.9921068877326042,1.888524897045645,D01,0.0,10.0,-,1,1
7,0.007893112267395714,4.226922817345985,D01,0.0,10.0,-,1,1
8,0.9931555714094618,1.8868454078897234,E01,0.0,0.3,-,2,1
9,0.006844428590538191,4.315932874953923,E01,0.0,0.3,-,2,1
10,0.9927124105269987,1.9191758863502726,F01,0.0,1.0,-,2,1
11,0.007287589473001319,4.299437972185716,F01,0.0,1.0,-,2,1
12,0.9920848399329747,1.8951897643679698,G01,0.0,3.0,-,2,1
13,0.007915160067025312,4.288483128253235,G01,0.0,3.0,-,2,1
14,0.9912649343219873,1.898108745317545,H01,0.0,10.0,-,2,1
15,0.008735065678012717,4.209304195662492,H01,0.0,10.0,-,2,1
16,0.9079090425408869,1.8903353348283816,A02,5.0,0.3,-,1,1
17,0.0920909574591131,4.056692761766666,A02,5.0,0.3,-,1,1
18,0.9290685285516741,1.8940423628255423,B02,5.0,1.0,-,1,1
19,0.07093147144832589,4.063239205571096,B02,5.0,1.0,-,1,1
20,0.8798262210076379,1.8865746130937928,C02,5.0,3.0,-,1,1
21,0.12017377899236213,4.0539418670089,C02,5.0,3.0,-,1,1
22,0.8395654606490116,1.9058616706895815,D02,5.0,10.0,-,1,1
23,0.16043453935098845,4.040648500338486,D02,5.0,10.0,-,1,1
24,0.9472442195548093,1.8859056738978341,E02,5.0,0.3,-,2,1
25,0.05275578044519071,4.11424676008885,E02,5.0,0.3,-,2,1
26,0.9093591327020721,1.8866562167499492,F02,5.0,1.0,-,2,1
27,0.09064086729792782,4.111930399177005,F02,5.0,1.0,-,2,1
28,0.9027585109044186,1.8899782475557552,G02,5.0,3.0,-,2,1
29,0.09724148909558138,3.985650944902713,G02,5.0,3.0,-,2,1
30,0.9351736621789796,1.8743041071638582,H02,5.0,10.0,-,2,1
31,0.06482633782102047,3.954769572481868,H02,5.0,10.0,-,2,1
32,0.5772091709429876,2.212069355795607,A03,7.5,0.3,-,1,1
33,0.4227908290570124,4.061197712062262,A03,7.5,0.3,-,1,1
34,0.578254577197859,2.277337866025012,B03,7.5,1.0,-,1,1
35,0.421745422802141,4.086346667177396,B03,7.5,1.0,-,1,1
36,0.577183665995239,2.283204557743805,C03,7.5,3.0,-,1,1
37,0.42281633400476104,4.085512695900399,C03,7.5,3.0,-,1,1
38,0.45765982564475116,2.4590259855720062,D03,7.5,10.0,-,1,1
39,0.5423401743552488,4.044870093581518,D03,7.5,10.0,-,1,1
40,0.589247868883342,2.224343264843362,E03,7.5,0.3,-,2,1
41,0.41075213111665804,4.077373563841138,E03,7.5,0.3,-,2,1
42,0.6675149804502233,2.0246287436378623,F03,7.5,1.0,-,2,1
43,0.3324850195497767,4.0263942712434915,F03,7.5,1.0,-,2,1
44,0.5448980520662662,2.361762998436759,G03,7.5,3.0,-,2,1
45,0.4551019479337338,4.0625200037476095,G03,7.5,3.0,-,2,1
46,0.6389856359124951,2.082539090910964,H03,7.5,10.0,-,2,1
47,0.3610143640875048,3.969593505906196,H03,7.5,10.0,-,2,1
48,0.29926973129856754,2.621603660066948,A04,10.0,0.3,-,1,1
49,0.7007302687014324,3.9752895493683402,A04,10.0,0.3,-,1,1
50,0.3197893152746426,2.644692888910177,B04,10.0,1.0,-,1,1
51,0.6802106847253574,3.995796242168284,B04,10.0,1.0,-,1,1
52,0.3010134829427201,2.6162970968808494,C04,10.0,3.0,-,1,1
53,0.6989865170572799,3.9783610408352783,C04,10.0,3.0,-,1,1
54,1.0,3.613768888413183,D04,10.0,10.0,-,1,1
55,0.28764773608402455,2.6255556080213824,E04,10.0,0.3,-,2,1
56,0.7123522639159755,4.0021305570680115,E04,10.0,0.3,-,2,1
57,0.3327960772740687,2.625872472854049,F04,10.0,1.0,-,2,1
58,0.6672039227259313,4.004962262512861,F04,10.0,1.0,-,2,1
59,0.3246367091437514,2.6287281346294415,G04,10.0,3.0,-,2,1
60,0.6753632908562486,3.978004283616916,G04,10.0,3.0,-,2,1
61,0.5172744293865906,2.4052735690879588,H04,10.0,10.0,-,2,1
62,0.4827255706134094,3.965049596846769,H04,10.0,10.0,-,2,1
63,1.0,3.706332809381087,A05,15.0,0.3,-,1,1
64,1.0,3.682127236256925,B05,15.0,1.0,-,1,1
65,1.0,3.6983638208543197,C05,15.0,3.0,-,1,1
66,1.0,3.675416046176168,D05,15.0,10.0,-,1,1
67,1.0,3.737649544202441,E05,15.0,0.3,-,2,1
68,1.0,3.6813950281846286,F05,15.0,1.0,-,2,1
69,1.0,3.669384170467147,G05,15.0,3.0,-,2,1
70,1.0,3.630593466573505,H05,15.0,10.0,-,2,1
71,0.029943602842619054,2.003698320449869,A06,30.0,0.3,-,1,1
72,0.9700563971573809,3.415795476019221,A06,30.0,0.3,-,1,1
73,0.02454230578921326,1.8735092145627394,B06,30.0,1.0,-,1,1
74,0.9754576942107868,3.419067190806858,B06,30.0,1.0,-,1,1
75,1.0,3.3861158932666764,C06,30.0,3.0,-,1,1
76,1.0,3.3787527108077566,D06,30.0,10.0,-,1,1
77,0.027963647258563866,1.9189126890024604,E06,30.0,0.3,-,2,1
78,0.9720363527414362,3.457462076641723,E06,30.0,0.3,-,2,1
79,0.026900272161741835,1.9568422128384935,F06,30.0,1.0,-,2,1
80,0.9730997278382582,3.437814087288105,F06,30.0,1.0,-,2,1
81,1.0,3.377238401587048,G06,30.0,3.0,-,2,1
82,1.0,3.388639539999478,H06,30.0,10.0,-,2,1
83,0.9049227259511082,1.9925980794978666,A07,0.0,0.3,+,1,1
84,0.09507727404889177,1.1673822739097606,A07,0.0,0.3,+,1,1
85,0.9125257909215956,2.0000635848844333,B07,0.0,1.0,+,1,1
86,0.0874742090784044,1.1888669750985732,B07,0.0,1.0,+,1,1
87,0.9955811346783928,1.9234417392120498,C07,0.0,3.0,+,1,1
88,0.004418865321607173,4.111684520328991,C07,0.0,3.0,+,1,1
89,0.9951691867770027,1.9132311049949497,D07,0.0,10.0,+,1,1
90,0.004830813222997271,4.17537941662049,D07,0.0,10.0,+,1,1
91,0.9067049552557767,1.9845376972500757,E07,0.0,0.3,+,2,1
92,0.09329504474422332,1.140692135196395,E07,0.0,0.3,+,2,1
93,0.9953590192644484,1.8946434627756525,F07,0.0,1.0,+,2,1
94,0.004640980735551664,4.133358555299943,F07,0.0,1.0,+,2,1
95,0.9953695652173913,1.8993373936752822,G07,0.0,3.0,+,2,1
96,0.004630434782608696,4.147293798681119,G07,0.0,3.0,+,2,1
97,0.9950211655297962,1.8924672605726152,H07,0.0,10.0,+,2,1
98,0.004978834470203759,4.130174996899055,H07,0.0,10.0,+,2,1
99,0.9090654989285382,1.8986469850954455,A08,5.0,0.3,+,1,1
100,0.09093450107146185,3.922900218874766,A08,5.0,0.3,+,1,1
101,0.9176724627798614,1.890399452402944,B08,5.0,1.0,+,1,1
102,0.08232753722013865,3.9272287627900457,B08,5.0,1.0,+,1,1
103,0.9061627853776822,1.8873410581795746,C08,5.0,3.0,+,1,1
104,0.0938372146223178,3.9455561299009347,C08,5.0,3.0,+,1,1
105,0.9049267703801562,1.8928809305118632,D08,5.0,10.0,+,1,1
106,0.09507322961984374,3.9621203441954855,D08,5.0,10.0,+,1,1
107,0.9213443890622817,1.8860106845032694,E08,5.0,0.3,+,2,1
108,0.07865561093771836,3.996212161860048,E08,5.0,0.3,+,2,1
109,0.923170676657789,1.8967307328976286,F08,5.0,1.0,+,2,1
110,0.07682932334221099,3.978057014011592,F08,5.0,1.0,+,2,1
111,0.9207304746288102,1.8950006738206147,G08,5.0,3.0,+,2,1
112,0.07926952537118982,3.9130503508850123,G08,5.0,3.0,+,2,1
113,0.9393538254431232,1.8929987631725995,H08,5.0,10.0,+,2,1
114,0.06064617455687682,3.91903343472241,H08,5.0,10.0,+,2,1
115,0.568232031213275,2.0893058137704594,A09,7.5,0.3,+,1,1
116,0.43176796878672496,3.8517768230295912,A09,7.5,0.3,+,1,1
117,0.6126901703561993,2.0696969502831832,B09,7.5,1.0,+,1,1
118,0.3873098296438007,3.8782564112126234,B09,7.5,1.0,+,1,1
119,0.5834885728565586,2.0801599769694072,C09,7.5,3.0,+,1,1
120,0.4165114271434413,3.859883817748707,C09,7.5,3.0,+,1,1
121,0.5861703566758353,2.122896170740074,D09,7.5,10.0,+,1,1
122,0.41382964332416466,3.9063526456670825,D09,7.5,10.0,+,1,1
